分数,位次区间,同分人数,建议位次
12,67881-67881,0,67881
11,67881-67881,0,67881
10,67881-67881,0,67881
9,67881-67881,0,67881
8,67881-67881,0,67881
7,67882-67882,1,67882
6,67882-67882,0,67882
5,67882-67882,0,67882
4,67882-67882,0,67882
3,67883-67883,1,67883
2,67884-67884,1,67884
1,67884-67884,0,67884
0,67885-68294,410,68294
