分数,位次区间,同分人数,建议位次
133,110131-110140,10,110140
132,110141-110143,3,110143
131,110144-110155,12,110155
130,110156-110164,9,110164
129,110165-110173,9,110173
128,110174-110185,12,110185
127,110186-110196,11,110196
126,110197-110199,3,110199
125,110200-110205,6,110205
124,110206-110223,18,110223
123,110224-110228,5,110228
122,110229-110233,5,110233
121,110234-110240,7,110240
120,110241-110251,11,110251
119,110252-110259,8,110259
118,110260-110266,7,110266
117,110267-110270,4,110270
116,110271-110275,5,110275
115,110276-110278,3,110278
114,110279-110283,5,110283
113,110284-110286,3,110286
112,110287-110292,6,110292
111,110293-110301,9,110301
110,110302-110307,6,110307
109,110308-110309,2,110309
108,110310-110316,7,110316
107,110317-110322,6,110322
106,110323-110323,1,110323
105,110324-110325,2,110325
104,110326-110336,11,110336
103,110337-110339,3,110339
102,110340-110346,7,110346
101,110347-110350,4,110350
100,110351-110352,2,110352
99,110353-110355,3,110355
98,110356-110359,4,110359
97,110360-110362,3,110362
96,110363-110364,2,110364
95,110365-110370,6,110370
94,110371-110374,4,110374
93,110375-110381,7,110381
92,110382-110384,3,110384
91,110385-110385,1,110385
90,110386-110391,6,110391
89,110392-110393,2,110393
88,110394-110396,3,110396
87,110397-110401,5,110401
86,110402-110404,3,110404
85,110405-110406,2,110406
83,110407-110407,1,110407
81,110408-110409,2,110409
77,110410-110412,3,110412
76,110413-110414,2,110414
75,110415-110415,1,110415
72,110416-110419,4,110419
70,110420-110421,2,110421
67,110422-110423,2,110423
66,110424-110425,2,110425
65,110426-110426,1,110426
63,110427-110427,1,110427
61,110428-110428,1,110428
60,110429-110429,1,110429
56,110430-110430,1,110430
55,110431-110431,1,110431
52,110432-110432,1,110432
49,110433-110433,1,110433
47,110434-110434,1,110434
46,110435-110436,2,110436
45,110437-110437,1,110437
38,110438-110438,1,110438
33,110439-110439,1,110439
28,110440-110440,1,110440
27,110441-110441,1,110441
25,110442-110442,1,110442
24,110443-110443,1,110443
23,110444-110444,1,110444
20,110445-110446,2,110446
16,110447-110447,1,110447
15,110448-110448,1,110448
3,110449-110449,1,110449
2,110450-110450,1,110450
0,110451-111396,946,111396
