分数,位次区间,同分人数,建议位次
276,129554-129697,144,129697
275,129698-129857,160,129857
274,129858-130004,147,130004
273,130005-130137,133,130137
272,130138-130287,150,130287
271,130288-130409,122,130409
270,130410-130546,137,130546
269,130547-130676,130,130676
268,130677-130805,129,130805
267,130806-130926,121,130926
266,130927-131046,120,131046
265,131047-131177,131,131177
264,131178-131293,116,131293
263,131294-131410,117,131410
262,131411-131529,119,131529
261,131530-131662,133,131662
260,131663-131765,103,131765
259,131766-131880,115,131880
258,131881-131989,109,131989
257,131990-132105,116,132105
256,132106-132197,92,132197
255,132198-132280,83,132280
254,132281-132388,108,132388
253,132389-132485,97,132485
252,132486-132579,94,132579
251,132580-132680,101,132680
250,132681-132775,95,132775
249,132776-132853,78,132853
248,132854-132943,90,132943
247,132944-133032,89,133032
246,133033-133121,89,133121
245,133122-133199,78,133199
244,133200-133289,90,133289
243,133290-133374,85,133374
242,133375-133444,70,133444
241,133445-133516,72,133516
240,133517-133581,65,133581
239,133582-133654,73,133654
238,133655-133717,63,133717
237,133718-133772,55,133772
236,133773-133826,54,133826
235,133827-133890,64,133890
234,133891-133953,63,133953
233,133954-134022,69,134022
232,134023-134084,62,134084
231,134085-134129,45,134129
230,134130-134178,49,134178
229,134179-134222,44,134222
228,134223-134260,38,134260
227,134261-134304,44,134304
226,134305-134342,38,134342
225,134343-134390,48,134390
224,134391-134433,43,134433
223,134434-134474,41,134474
222,134475-134517,43,134517
221,134518-134555,38,134555
220,134556-134601,46,134601
219,134602-134638,37,134638
218,134639-134665,27,134665
217,134666-134706,41,134706
216,134707-134729,23,134729
215,134730-134761,32,134761
214,134762-134788,27,134788
213,134789-134817,29,134817
212,134818-134846,29,134846
211,134847-134871,25,134871
210,134872-134891,20,134891
209,134892-134910,19,134910
208,134911-134927,17,134927
207,134928-134941,14,134941
206,134942-134964,23,134964
205,134965-134972,8,134972
204,134973-134989,17,134989
203,134990-135003,14,135003
202,135004-135029,26,135029
201,135030-135047,18,135047
200,135048-135064,17,135064
199,135065-135075,11,135075
198,135076-135084,9,135084
197,135085-135099,15,135099
196,135100-135112,13,135112
195,135113-135126,14,135126
194,135127-135142,16,135142
193,135143-135150,8,135150
192,135151-135159,9,135159
191,135160-135171,12,135171
190,135172-135179,8,135179
